Session ID,Caller Name,Caller Phone,Date,Time,Turn #,Role,Message,Timestamp
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,1,CALLER,Hello,10:24:18
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,2,AI,"Hi, this is Priya from BluQQ! How can I help you today?",10:24:18
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,3,CALLER,what are services provided...,10:24:28
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,4,AI,"We offer a range of tech services like trading bots, dashboards, AI tools, data pipelines, web scraping, and real estate tech.",10:24:29
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,5,CALLER,Have a good one.,10:24:50
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,6,AI,"Absolutely! Our dashboards can be customized for your specific needs. They help visualize data, track performance, and make decisions",10:24:51
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,7,CALLER,Thank you.,10:24:55
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,8,AI,"The pricing for dashboards generally ranges from $800 to $3000, depending on complexity and features. Would you like more",10:24:56
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,9,CALLER,ఇదు సివత్తులు వద్దుకు కొన్ని.,10:24:57
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,10,CALLER,Bye-bye.,10:25:07
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,11,AI,"Sure, could you tell me a",10:25:07
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,12,CALLER,"Wait, wait, uh...",10:25:11
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,13,AI,"No worries! Whenever you’re ready, I can help with more details or even book a free consultation for you. How does that sound?",10:25:11
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,14,CALLER,Thank you.,10:25:19
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,15,AI,"Sure! If you’d like, I can get your name and email to set up a consultation with our team. Would you like to do that?",10:25:21
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,16,CALLER,"Thank you for watching, and I wish you all a happy new year.",10:25:26
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,17,AI,No problem at all!,10:25:26
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,18,AI,"Absolutely, I’m here whenever you need help. Just let me know what works best for you!",10:25:30
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,19,CALLER,Thanks.,10:25:30
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,20,CALLER,Bye-bye. ,10:25:33
20260323_102414,Unknown,Unknown,2026-03-23,10:24:14,21,AI,"We offer trading bots, dashboards, AI tools, data pipelines, web scraping, and real estate tech solutions. Let me know if",10:25:34
